id,person_id,organization_id,start_date,end_date,sources
pardubice:membership:adela-zdrahalova:zastupitelstvo-mesta-pardubic,pardubice:person:adela-zdrahalova,pardubice:org:zastupitelstvo-mesta-pardubic,2022-11-21,,"[{""url"": ""https://pardubice.eu/zmp-2026"", ""note"": ""start/end derived from first/last recorded vote""}]"
pardubice:membership:dominik-becka:zastupitelstvo-mesta-pardubic,pardubice:person:dominik-becka,pardubice:org:zastupitelstvo-mesta-pardubic,2023-03-20,,"[{""url"": ""https://pardubice.eu/zmp-2026"", ""note"": ""start/end derived from first/last recorded vote""}]"
pardubice:membership:dusan-salficky:zastupitelstvo-mesta-pardubic,pardubice:person:dusan-salficky,pardubice:org:zastupitelstvo-mesta-pardubic,2022-11-21,,"[{""url"": ""https://pardubice.eu/zmp-2026"", ""note"": ""start/end derived from first/last recorded vote""}]"
pardubice:membership:dusan-stransky:zastupitelstvo-mesta-pardubic,pardubice:person:dusan-stransky,pardubice:org:zastupitelstvo-mesta-pardubic,2022-11-21,,"[{""url"": ""https://pardubice.eu/zmp-2026"", ""note"": ""start/end derived from first/last recorded vote""}]"
pardubice:membership:filip-sedlak:zastupitelstvo-mesta-pardubic,pardubice:person:filip-sedlak,pardubice:org:zastupitelstvo-mesta-pardubic,2022-11-21,,"[{""url"": ""https://pardubice.eu/zmp-2026"", ""note"": ""start/end derived from first/last recorded vote""}]"
pardubice:membership:filip-stastny:zastupitelstvo-mesta-pardubic,pardubice:person:filip-stastny,pardubice:org:zastupitelstvo-mesta-pardubic,2022-11-21,,"[{""url"": ""https://pardubice.eu/zmp-2026"", ""note"": ""start/end derived from first/last recorded vote""}]"
pardubice:membership:frantisek-brendl:zastupitelstvo-mesta-pardubic,pardubice:person:frantisek-brendl,pardubice:org:zastupitelstvo-mesta-pardubic,2022-11-21,,"[{""url"": ""https://pardubice.eu/zmp-2026"", ""note"": ""start/end derived from first/last recorded vote""}]"
pardubice:membership:frantisek-nemec:zastupitelstvo-mesta-pardubic,pardubice:person:frantisek-nemec,pardubice:org:zastupitelstvo-mesta-pardubic,2022-11-21,,"[{""url"": ""https://pardubice.eu/zmp-2026"", ""note"": ""start/end derived from first/last recorded vote""}]"
pardubice:membership:helena-dvorackova:zastupitelstvo-mesta-pardubic,pardubice:person:helena-dvorackova,pardubice:org:zastupitelstvo-mesta-pardubic,2022-11-21,2023-11-27,"[{""url"": ""https://pardubice.eu/zmp-2026"", ""note"": ""start/end derived from first/last recorded vote""}]"
pardubice:membership:ivana-bohmova:zastupitelstvo-mesta-pardubic,pardubice:person:ivana-bohmova,pardubice:org:zastupitelstvo-mesta-pardubic,2022-11-21,2023-01-30,"[{""url"": ""https://pardubice.eu/zmp-2026"", ""note"": ""start/end derived from first/last recorded vote""}]"
pardubice:membership:jakub-rychtecky:zastupitelstvo-mesta-pardubic,pardubice:person:jakub-rychtecky,pardubice:org:zastupitelstvo-mesta-pardubic,2022-11-21,,"[{""url"": ""https://pardubice.eu/zmp-2026"", ""note"": ""start/end derived from first/last recorded vote""}]"
pardubice:membership:jan-hrabal:zastupitelstvo-mesta-pardubic,pardubice:person:jan-hrabal,pardubice:org:zastupitelstvo-mesta-pardubic,2022-11-21,,"[{""url"": ""https://pardubice.eu/zmp-2026"", ""note"": ""start/end derived from first/last recorded vote""}]"
pardubice:membership:jan-mazuch:zastupitelstvo-mesta-pardubic,pardubice:person:jan-mazuch,pardubice:org:zastupitelstvo-mesta-pardubic,2022-11-21,,"[{""url"": ""https://pardubice.eu/zmp-2026"", ""note"": ""start/end derived from first/last recorded vote""}]"
pardubice:membership:jan-metelka:zastupitelstvo-mesta-pardubic,pardubice:person:jan-metelka,pardubice:org:zastupitelstvo-mesta-pardubic,2022-11-21,,"[{""url"": ""https://pardubice.eu/zmp-2026"", ""note"": ""start/end derived from first/last recorded vote""}]"
