id,person_id,organization_id,start_date,end_date,sources
brno:membership:marketa-vankova:brno:org:zastupitelstvo-mesta-brna,brno:person:marketa-vankova,brno:org:zastupitelstvo-mesta-brna,2022-10-20,,"[{""url"": ""https://zastupko.fit.vutbr.cz/flask/brno/zastupitelstvo/9/dataset"", ""note"": ""start/end derived from first/last session date with any recorded zastupiteleHlasy entry for this person (present or absent, both count as 'on the roster then'); open end_date = still active as of this feed's last recorded session.""}]"
brno:membership:rene-cerny:brno:org:zastupitelstvo-mesta-brna,brno:person:rene-cerny,brno:org:zastupitelstvo-mesta-brna,2022-10-20,,"[{""url"": ""https://zastupko.fit.vutbr.cz/flask/brno/zastupitelstvo/9/dataset"", ""note"": ""start/end derived from first/last session date with any recorded zastupiteleHlasy entry for this person (present or absent, both count as 'on the roster then'); open end_date = still active as of this feed's last recorded session.""}]"
brno:membership:katerina-jarosova:brno:org:zastupitelstvo-mesta-brna,brno:person:katerina-jarosova,brno:org:zastupitelstvo-mesta-brna,2022-10-20,,"[{""url"": ""https://zastupko.fit.vutbr.cz/flask/brno/zastupitelstvo/9/dataset"", ""note"": ""start/end derived from first/last session date with any recorded zastupiteleHlasy entry for this person (present or absent, both count as 'on the roster then'); open end_date = still active as of this feed's last recorded session.""}]"
brno:membership:karel-kalivoda:brno:org:zastupitelstvo-mesta-brna,brno:person:karel-kalivoda,brno:org:zastupitelstvo-mesta-brna,2022-10-20,,"[{""url"": ""https://zastupko.fit.vutbr.cz/flask/brno/zastupitelstvo/9/dataset"", ""note"": ""start/end derived from first/last session date with any recorded zastupiteleHlasy entry for this person (present or absent, both count as 'on the roster then'); open end_date = still active as of this feed's last recorded session.""}]"
brno:membership:rene-novotny:brno:org:zastupitelstvo-mesta-brna,brno:person:rene-novotny,brno:org:zastupitelstvo-mesta-brna,2022-10-20,,"[{""url"": ""https://zastupko.fit.vutbr.cz/flask/brno/zastupitelstvo/9/dataset"", ""note"": ""start/end derived from first/last session date with any recorded zastupiteleHlasy entry for this person (present or absent, both count as 'on the roster then'); open end_date = still active as of this feed's last recorded session.""}]"
brno:membership:vit-prygl:brno:org:zastupitelstvo-mesta-brna,brno:person:vit-prygl,brno:org:zastupitelstvo-mesta-brna,2022-10-20,,"[{""url"": ""https://zastupko.fit.vutbr.cz/flask/brno/zastupitelstvo/9/dataset"", ""note"": ""start/end derived from first/last session date with any recorded zastupiteleHlasy entry for this person (present or absent, both count as 'on the roster then'); open end_date = still active as of this feed's last recorded session.""}]"
brno:membership:jiri-oliva:brno:org:zastupitelstvo-mesta-brna,brno:person:jiri-oliva,brno:org:zastupitelstvo-mesta-brna,2022-10-20,,"[{""url"": ""https://zastupko.fit.vutbr.cz/flask/brno/zastupitelstvo/9/dataset"", ""note"": ""start/end derived from first/last session date with any recorded zastupiteleHlasy entry for this person (present or absent, both count as 'on the roster then'); open end_date = still active as of this feed's last recorded session.""}]"
brno:membership:marek-viskot:brno:org:zastupitelstvo-mesta-brna,brno:person:marek-viskot,brno:org:zastupitelstvo-mesta-brna,2022-10-20,,"[{""url"": ""https://zastupko.fit.vutbr.cz/flask/brno/zastupitelstvo/9/dataset"", ""note"": ""start/end derived from first/last session date with any recorded zastupiteleHlasy entry for this person (present or absent, both count as 'on the roster then'); open end_date = still active as of this feed's last recorded session.""}]"
brno:membership:petr-hladik:brno:org:zastupitelstvo-mesta-brna,brno:person:petr-hladik,brno:org:zastupitelstvo-mesta-brna,2022-10-20,,"[{""url"": ""https://zastupko.fit.vutbr.cz/flask/brno/zastupitelstvo/9/dataset"", ""note"": ""start/end derived from first/last session date with any recorded zastupiteleHlasy entry for this person (present or absent, both count as 'on the roster then'); open end_date = still active as of this feed's last recorded session.""}]"
brno:membership:filip-chvatal:brno:org:zastupitelstvo-mesta-brna,brno:person:filip-chvatal,brno:org:zastupitelstvo-mesta-brna,2022-10-20,,"[{""url"": ""https://zastupko.fit.vutbr.cz/flask/brno/zastupitelstvo/9/dataset"", ""note"": ""start/end derived from first/last session date with any recorded zastupiteleHlasy entry for this person (present or absent, both count as 'on the roster then'); open end_date = still active as of this feed's last recorded session.""}]"
brno:membership:jitka-ivicicova:brno:org:zastupitelstvo-mesta-brna,brno:person:jitka-ivicicova,brno:org:zastupitelstvo-mesta-brna,2022-10-20,2023-12-12,"[{""url"": ""https://zastupko.fit.vutbr.cz/flask/brno/zastupitelstvo/9/dataset"", ""note"": ""start/end derived from first/last session date with any recorded zastupiteleHlasy entry for this person (present or absent, both count as 'on the roster then'); open end_date = still active as of this feed's last recorded session.""}]"
brno:membership:filip-leder:brno:org:zastupitelstvo-mesta-brna,brno:person:filip-leder,brno:org:zastupitelstvo-mesta-brna,2022-10-20,,"[{""url"": ""https://zastupko.fit.vutbr.cz/flask/brno/zastupitelstvo/9/dataset"", ""note"": ""start/end derived from first/last session date with any recorded zastupiteleHlasy entry for this person (present or absent, both count as 'on the roster then'); open end_date = still active as of this feed's last recorded session.""}]"
brno:membership:jaroslav-suchy:brno:org:zastupitelstvo-mesta-brna,brno:person:jaroslav-suchy,brno:org:zastupitelstvo-mesta-brna,2022-10-20,,"[{""url"": ""https://zastupko.fit.vutbr.cz/flask/brno/zastupitelstvo/9/dataset"", ""note"": ""start/end derived from first/last session date with any recorded zastupiteleHlasy entry for this person (present or absent, both count as 'on the roster then'); open end_date = still active as of this feed's last recorded session.""}]"
brno:membership:david-grund:brno:org:zastupitelstvo-mesta-brna,brno:person:david-grund,brno:org:zastupitelstvo-mesta-brna,2022-10-20,,"[{""url"": ""https://zastupko.fit.vutbr.cz/flask/brno/zastupitelstvo/9/dataset"", ""note"": ""start/end derived from first/last session date with any recorded zastupiteleHlasy entry for this person (present or absent, both count as 'on the roster then'); open end_date = still active as of this feed's last recorded session.""}]"
brno:membership:jiri-herman:brno:org:zastupitelstvo-mesta-brna,brno:person:jiri-herman,brno:org:zastupitelstvo-mesta-brna,2022-10-20,,"[{""url"": ""https://zastupko.fit.vutbr.cz/flask/brno/zastupitelstvo/9/dataset"", ""note"": ""start/end derived from first/last session date with any recorded zastupiteleHlasy entry for this person (present or absent, both count as 'on the roster then'); open end_date = still active as of this feed's last recorded session.""}]"
brno:membership:michal-chladek:brno:org:zastupitelstvo-mesta-brna,brno:person:michal-chladek,brno:org:zastupitelstvo-mesta-brna,2022-10-20,,"[{""url"": ""https://zastupko.fit.vutbr.cz/flask/brno/zastupitelstvo/9/dataset"", ""note"": ""start/end derived from first/last session date with any recorded zastupiteleHlasy entry for this person (present or absent, both count as 'on the roster then'); open end_date = still active as of this feed's last recorded session.""}]"
brno:membership:robert-kerndl:brno:org:zastupitelstvo-mesta-brna,brno:person:robert-kerndl,brno:org:zastupitelstvo-mesta-brna,2022-10-20,,"[{""url"": ""https://zastupko.fit.vutbr.cz/flask/brno/zastupitelstvo/9/dataset"", ""note"": ""start/end derived from first/last session date with any recorded zastupiteleHlasy entry for this person (present or absent, both count as 'on the roster then'); open end_date = still active as of this feed's last recorded session.""}]"
